180101-042805_bem_d31_elicit_17,pamulandu wa milimo ukalamba uusangwa muli mateo 28 19b 
180101-042805_bem_d31_elicit_18,balangilile ukuti umwina kristu onse uwasumina alitwa kukubombela lesa mu kuipelesha na mukunakila 
180101-042805_bem_d31_elicit_19,amashiwi ayengi aya kukoselesha yafumine mu bene efese 4 
180101-042805_bem_d31_elicit_20,kwali ukukonomesha pa fikomo ifi 
180101-042805_bem_d31_elicit_21,ubwite bwa kumupashi 
180101-042805_bem_d31_elicit_22,ubukabilo bwa kusambilila icebo ca ka lesa 
180101-042805_bem_d31_elicit_23,umutima wa nkumbu kabili uubelela uluse 
180101-042805_bem_d31_elicit_24,ifyabupe fya mupashi 
180101-042805_bem_d31_elicit_25,ifyo umubomfi wa kwa lesa afwile ukuba 
180101-042805_bem_d31_elicit_26,ico tapali amepusho inshita ya mapepo yapelwe ba miniti amakumi yabili 
180101-042805_bem_d31_elicit_27,amapepo yashintilile pa milandu iyi 
180101-042805_bem_d31_elicit_28,ukutotela lesa pa milimo umupusushi kabili shikulu abombele umupwilapo pa kalvari 
180101-042805_bem_d31_elicit_29,ukutotela lesa pa mulimo ukalamba untu atulashika 
180101-042805_bem_d31_elicit_30,ukutumbula ubunake bwesu cila muntu pakuti tufikilishe umulimo ukalamba 
180101-042805_bem_d31_elicit_31,ukwipusha lesa wa maka yonse ukutubikamo imibele yali muli yesu kristu 
180101-042805_bem_d31_elicit_33,icishibisho 
180101-042805_bem_d31_elicit_34,abepekenye uku kulongana ba munyinefwe ba chinika ba suminishe abalesambilisha ba obed mwape ukutwalilila 
180101-042805_bem_d31_elicit_35,pali iyi nshita ngabakangalila mukalamba bapele icengelo pa bukabilo no bukankala bwa kukumanya akabungwe ka bakalamba ba filonganino 
180101-042805_bem_d31_elicit_36,mukusupawila bacinkwile abaishile ku masambililo aya ukuti ubuyo bwa iyi milimo ya kulemba ulu ulupapulo natuleya te wa bakalemba mukalamba beeka 
180101-042805_bem_d31_elicit_37,pamo ne bumba ili bafwilishako lelo makamaka ukuti abakalamba bafilonganino mu fitungu fyonse muno calo cesu 
180101-042805_bem_d31_elicit_38,na bena baikalamo batwalilile ukulanda na pali ifi 
180101-042805_bem_d31_elicit_39,icimonwa ukulosha ku lupapulo 
180101-042805_bem_d31_elicit_40,ishina lya ulu lupapulo 
180101-042805_bem_d31_elicit_41,abalemba ifisangwa mu lupapulo 
180101-042805_bem_d31_elicit_42,ukulembwa kwa ulu lupapulo 
180101-042805_bem_d31_elicit_43,ifyo amabumba yabili ilya bakalemba ne lya ba mpando mano yaba 
180101-042805_bem_d31_elicit_44,na pakulekelesha icishibisho no kulanshanya kwa aya masambililo kwaiminine sana pa 
180101-042805_bem_d31_elicit_45,kusambishanya no kushitisha kwa lupapulo 
180101-042805_bem_d31_elicit_46,pali ino nshita umukalamba uwimininako icitungu ca mikoti alebomba no mulimo wa kwa kangalila pamo 
180101-042805_bem_d31_elicit_47,eico ici e cimicilenga tukumane ukuti abakalamba ba filonganino bamone no kusonta munyinefwe uwinga bula umulimo uwa bukangalila 
180101-042805_bem_d31_elicit_48,kwali ukusuminishanya ukubomba uyu mulimo mu kulongana kwa bakalamba ukukakonkapo 
180101-042805_bem_d31_elicit_49,umulimo wa kushitisha ulupapulo uli no kulungatana na ba kalamba ba cila cilonganinno nelyo kapyunga umwaume nangu umwanakashi engasontwa ukulashitisha 
180101-042805_bem_d31_elicit_50,umuntu onse uuleshitisha ulupapulo akulabulamo k200 00 mu lupapulo lumo elyo no kutuma k2 800 00 ulwa lupapulo lumo ku mukalamba aleimininako icitungu 
180101-042805_bem_d31_elicit_51,elyo naena ali no kutuma shonse kuli kalemba mukalamba 
200922-110537_bem_d31_elicit_0,kasebo ka buyantanshi 
200922-110537_bem_d31_elicit_1,ukushaba kupanda amano amapange yafulunganiwa lelo ukuli abapanda amano abengi amapange yaleminina 
200922-110537_bem_d31_elicit_2,papita imyaka amakumi yatatu apo solomomi na bambi balembele amano yabo 
200922-110537_bem_d31_elicit_3,lelo aya mano kuti yatwafwa na muli shino nshiku 
200922-110537_bem_d31_elicit_4,maka maka ilyo ibumba lya bena kristu nga ifwe 
200922-110537_bem_d31_elicit_5,fwebashalembapo magazine kale 
200922-110537_bem_d31_elicit_6,tulefwaya ukutendeka nkufikilisha uyu mulimo mu calo cesu ica zambia 
200922-110537_bem_d31_elicit_7,eico tuli ne nsansa sana pafyo ba munyinefwe ba mark davies batupandileko amano nokutunkansha ilyo basambilishe pa kulongana 
200922-110537_bem_d31_elicit_8,kwa ntanshi ukwabakelula mu mweshi wa march ku luanshya 
200922-110537_bem_d31_elicit_9,elyo kabili twapokelele amasambililo ayatantikwa ukufuma ku kabungwe ka magazine training international 
200922-110537_bem_d31_elicit_10,aka ekabungwe akabomba umulimo wakukansha abo bonse abalefwaya ukutendeka 
200922-110537_bem_d31_elicit_11,magazine ya bena kristu ukuli konse pano isonde 
200922-110537_bem_d31_elicit_12,nakabili tuletotela abena kristu muno zambia abatupandako amano mufyo batulembela 
200922-110537_bem_d31_elicit_13,ilyo kwali ukulongana kwakusabankanya umulino wa magazine ku samfya ukwasangilwe abakalamba mu nkuta naba kapyunga nalimo 100 
200922-110537_bem_d31_elicit_14,nabo balandile pafyo twingatwala umulimo uyu pantanshi 
200922-110537_bem_d31_elicit_15,umwiminishi wesu ku copperbelt alelanshanya nentungulushi sha filonganino mu matauni yonse kulya 
200922-110537_bem_d31_elicit_16,uyu mweshi uleisa tuli nokutandalila icitungu ca luapula pakuti tukalanshanye nentungulushi umusango wa 
200922-110537_bem_d31_elicit_17,kushitisha nokusalanganya ama magazine 
200922-110537_bem_d31_elicit_18,uku kulanshanya kulecitika namu northern province 
200922-110537_bem_d31_elicit_19,abakwata ishuko lyakubomfya ama computer kuti bamona ifi fintu pakeyala kesu www natuleya com 
200922-110537_bem_d31_elicit_20,abo bonse abengafwaya ukubelenga magazine yesu konse uko bali pano isonde kuti babomfya ii website elyo kabili 
200922-110537_bem_d31_elicit_21,mu nshiku ishileisa nafimbi ifyakubelenga fikalasangwa pali ii website 
200922-110537_bem_d31_elicit_22,eico mukwai abo bonse abaletontonkanya pali fimo nangu abalemona ifintu fimo ifingatwafwa ukuwamya uyu mulimo 
200922-110537_bem_d31_elicit_23,kuti batulembela ifyo baletontonkanya 
200922-110537_bem_d31_elicit_24,elyo ukucila fyonse bonse natupepe ukuti lesa umwine uwacila bonse ukupanda amano 
200922-110537_bem_d31_elicit_25,akapele amano necikoseleshi kuli bonse abaibimba muli uyu mulimo 
200922-110537_bem_d31_elicit_26,nga yehoba takülile ng anda ninshi abakülako bacucutika apa fye 
200922-110537_bem_d31_elicit_27,mukwai tupepeleniko 
200922-110537_bem_d31_elicit_28,pakupekanya ama magazine yakuntanshi 
200922-110537_bem_d31_elicit_29,pali bakalemba nabakwilula 
200922-110537_bem_d31_elicit_30,kalemba mukalamba editor elyo nakabungwe ka bampandamano 
200922-110537_bem_d31_elicit_31,palupiya ululekabilwa muli uyu mulimo 
200922-110537_bem_d31_elicit_32,abakalashitisha ama magazine 
200922-110537_bem_d31_elicit_33,pakusanga inshila iisuma mukushitisha ama magazine 
200922-110537_bem_d31_elicit_34,intungulushi ishiletungilila umulimo mufilonganino fyabo 
200922-110537_bem_d31_elicit_35,ukuti lesa umwine engalakuula ulukuta ukupitila muli uyu mulimo 
200922-110537_bem_d31_elicit_36,ubushiku bwa kukanshiwa bwa kwilulwa 
200922-110537_bem_d31_elicit_37,ukulongana kwa bakwilula mu cibemba na mu cingeleshi mu mulimo wa natuleya magazini ukwapekanishiwe na ba obed mwape 
200922-110537_bem_d31_elicit_38,luanshya pamo na ba marco vedder 
200922-110537_bem_d31_elicit_39,kasama kwalifye bwino 
200922-110537_bem_d31_elicit_40,uku kulongana kwabelele pa ncende apasuma apatalala tondolo kunse ye tauni lya masaiti ilyabela 
200922-110537_bem_d31_elicit_41,ku kapinda ka kulyo ake tauni lya luanshya 
200922-110537_bem_d31_elicit_42,uku kulongana kwaliko pa bushiku bwa 14 march 2009 elyo kabili kwasangilwe abantu ikumi limo 10 
200922-110537_bem_d31_elicit_43,aba bantu bafumine mu fitungu fitatu muno zambia luapula northern elyo na ku mikoti 
200922-110537_bem_d31_elicit_44,nanguline uku kulongana kwalifye kwa bushiku bumo twasambilile ifintu ifinono ifikankala 
200922-110537_bem_d31_elicit_45,ifyakutwafwa mu mulimo wa natuleya magazini 
200922-110537_bem_d31_elicit_46,fimo pali ifi fintu nifi 
200922-110537_bem_d31_elicit_47,ukwishiba abo abakalabelenga uyu magazini 
200922-110537_bem_d31_elicit_48,umulimo ne mibele fya bakwilula 
200922-110537_bem_d31_elicit_49,ukwishiba umusango twakulalembelamo icibemba 
200922-110537_bem_d31_elicit_50,ukubomba umulimo wakufwailisha pa milandu imo imo iikumine uyu mulimo 
200922-110537_bem_d31_elicit_51,ifi efintu ifyo namwene ukuba ifikankala muli uyu mulimo wa natuleya magazini 
200922-110537_bem_d31_elicit_52,uwangwe cebo ca kwa lesa akasango busuma no utetekela yehoba alipaalwa 
200922-110537_bem_d31_elicit_53,uwa mutima wa mano etwo wa mucetekanya no kulowa kwa fya mu milomo kulundako ukukolopeka 
200922-110537_bem_d31_elicit_54,panuma yakulongana ukukalamba ukwabelele ku calo ca south africa mu 2004 
200922-110537_bem_d31_elicit_55,intungulushi ukufuma mufilonganino fya christian brethren cmml ukufuma mu fyalo ifyalekana 
200922-110537_bem_d31_elicit_56,lekana muno africa shikalongana muno zambia mu mweshi wa august 
200922-110537_bem_d31_elicit_57,tukesha ukusambilishanya elyo nokumona ifyo twingafwana mu nshiku shakuntanshi 
200922-110537_bem_d31_elicit_58,abalingile ukusangwa kuli uku kulongana ni abo abaibimba mu milimo yakwa shikulu iyalekana lekana 
200922-110537_bem_d31_elicit_59,nalimo mucitungu umo bekala nangu abo abapyunga mu ncende ishalekana lekana muno zambia 
200922-110537_bem_d31_elicit_60,aba bantu bafwile ukuba abaishiba bwino bwino ukulanshanya mu lulimi lwa cingeleshi 
200924-194133_bem_798_elicit_0,ubwa lelo lesa alekupela mu minwe yandi 
200924-194133_bem_798_elicit_1,ubusuma bwa citetekelo cesu bwakuti cashintilila pali lesa 
200924-194133_bem_798_elicit_2,kabumba wa mulu ne sonde uwamuyayaya uwa maka yonse kabili uutusakamana 
200924-194133_bem_798_elicit_3,tatulingile ukucetekela mu fintu ifyo twingasenda ne minwe yesu lelo tucetekele muli lesa uutulela 
200924-194133_bem_798_elicit_4,dabidi taisansabike umwine 
200924-194133_bem_798_elicit_5,lelo aicefya no kulango kuti ukucimfya kwakwe kushintilile pakubapo kwakwa lesa 
200924-194133_bem_798_elicit_6,uushimoneka lelo mucinecine epo aba 
200924-194133_bem_798_elicit_7,yehoba apuputula balanda awisha babifi basuka bashibwa panshi 
200924-194133_bem_798_elicit_8,dabidi taumfwile nsoni pa fyanso akwete 
200924-194133_bem_798_elicit_9,bushe ababomfya malegeni bantu bamusango shani 
200924-194133_bem_798_elicit_10,ilingi line baice bamalonda pamo na bakacema 
200924-194133_bem_798_elicit_11,nga uulabomfya ilegeni ulesuminisha ukuti uli wa mwibumba limo pali ayo 
200924-194133_bem_798_elicit_12,tekuti cikulenge insoni mu mushi waba nelyo uli na banobe ukubomfya ilegeni 
200924-194133_bem_798_elicit_13,lelo ilyo wafika ku ncende ya bulwi ukuli abantu abengi ukufuma mu fyalo ifya lekanalekana ne mfumu ilekutamba walacita shani 
200924-194133_bem_798_elicit_14,abantu abengi pali ndakai kuti batemwa ukuya ku bulwi ne fyanso fine fine pakuti tabamoneke abatumpa 
200924-194133_bem_798_elicit_15,tulingile ukusambililako kuli dabidi ifyo alecankilwa mu fintu lesa amupeele 
200924-194133_bem_798_elicit_16,abomfeshe bwino bwino icanso icintu akwete pantu eco aishibishe 
200924-194133_bem_798_elicit_17,nelyo twingafwala bwino no kukwata cipingo ca cingeleshi tatulingile ukuibisha pantu abantu bakatwishibile 
200924-194133_bem_798_elicit_18,ku fintu tulelanda nga cakuti twaishiba bwino ululimi lwa cibemba tulingile ukulanda no kulembela mu cibemba 
200924-194133_bem_798_elicit_19,nga cakuti tapali fisolobelo tulingile ukubomfya ifintu lesa atupeela pamo nga bapwapwa na mashiwi ayasuma 
200924-194133_bem_798_elicit_20,dabidi aiteyenye bwino bwino 
200924-194133_bem_798_elicit_21,elyo dabidi eba ati inshita yakulanda yapwa nomba natutendekeko ukuya loleleni panono nifinshi filefwaikwa 
200924-194133_bem_798_elicit_22,nalabomfya amalegeni kanshi ndekabila ilibwe 
200924-194133_bem_798_elicit_23,cawama ukufushako epali nshimulashile pakubomfya ilyantanshi 
200924-194133_bem_798_elicit_24,bushe nikwi ningafumya ayasuma kuti yasangwa ku kamana 
200924-194133_bem_798_elicit_25,cilefwaikwa ukuyabika apayanguka pakubula pantu takwaba inshita ikalamba 
200924-194133_bem_798_elicit_26,ifi efyo dabidi acitile pakuipekanya cacine lesa ali nankwe lelo tacilepilibulo kuti ali nokuleka ukucita ne fintu ifyali mu maka yakwe 
200924-194133_bem_798_elicit_27,nga cakuti uleya mukulanshanya ulingile ukutontonkanya pa mabwe yasano ayengakwafwa 
200924-194133_bem_798_elicit_28,kabili cisuma ukwishiba amalembo walayabomfya na mepusho yakwipusha pamo ne filangililo 
200924-194133_bem_798_elicit_29,kumfwa nga cakuti uleya mukulanda na bakalamba ba milimo pa mulandu wa bwafya bumo cisuma ukwipushako abena kristu bambi ifyo bacitile 
200924-194133_bem_798_elicit_30,nga cakuti uleshimpa ulukuta mu mushi umo 
200924-194133_bem_798_elicit_31,cisuma ukutontonkanya pamulandu wa bantu abakutungilila pamo na bengakucingilila elyo ne nshila yakubililamo imbila nsuma 
200924-194133_bem_798_elicit_32,mu ncende shingi ababomfi bwakwa lesa balabacimfya ico bacita ifintu ukwabula ukuipekanya ukupitila mukutontonkanya 
200924-194133_bem_798_elicit_33,dabidi nakwata ubuyo muli ubu bulwi 
200924-194133_bem_798_elicit_34,cacine dabidi alefwaya ukucimfya 
200924-194133_bem_798_elicit_35,lelo mulandu nshi 
200924-194133_bem_798_elicit_36,alikwete ubuyo nabumbi ukucilafye pakucimfya 
200924-194133_bem_798_elicit_37,pakuti isonde lyonse likeshibe ukuti mwaba lesa mu israeli 
200924-194133_bem_798_elicit_38,no lukuta ulu lonse luleishibo kuti te kulupanga kabili te kwifumo yehoba atulila kabili ubulwi bwakwa yehoba 
200924-194133_bem_798_elicit_39,dabidi aishibe ukuti ubulwi bonse muli bumupashi butambwa na mabumba yabili 
200924-194133_bem_798_elicit_40,isonde ekutila abantu abashaishiba lesa pamo na shibo kasebanya 
200924-194133_bem_798_elicit_41,na bantu bakwa lesa 
200924-194133_bem_798_elicit_42,ukubapo kwakwa lesa kuntu abashamwishiba balingile ukusambilila kuti kwaliba lesa wakwa israeli 
200924-194133_bem_798_elicit_43,lesa akeshibilwa mu kucimfya kwesu 
200924-194133_bem_798_elicit_44,ecalenga ifwe fwe bantu bakwe tulingile ukusambilila inshila uyu lesa apusushishamo 
200924-194133_bem_798_elicit_45,tulingile ukusambilila ukuti ifintu ifyo lesa engacita tekuti tufyelenganye 
200924-194133_bem_798_elicit_46,kuti cawama ukulanda pamulandu wa kucimfya kwale kwale ne nshila fyacitikilemo pantu emo twingeshibila ifyo lesa abomba 
200924-194133_bem_798_elicit_47,tatulingile ukulaloleshafye pa mafya yantu tuli nayo lelo tuloleshe na ku fintu ifyo twafililwe mu nshiku sha kunuma 
200924-194133_bem_798_elicit_48,ifuntu ifyo twafililwe ukucita muli bumubili kuti twafipilibula fibe ukucimfya ukukalamba nga twasambilila ukuficita muli bulesa mu nshita iileisa 
200924-194133_bem_798_elicit_49,ifi efyacitike kuli yesu pa capindama kabili efyacitike kuli dabidi 
200924-194133_bem_798_elicit_50,efingacitika na mu mweo obe 
200924-194133_bem_798_elicit_51,dabidi takokwele 
200924-194133_bem_798_elicit_52,nga cakuti fyonse ifi fyacitwa tekuti kube icakulolela kabili 
200924-194133_bem_798_elicit_53,dabidi alilekele ukutontonkanya pali bumunyina bwakwe nelyo pa busanso ubwingamuponena 
200914-200932_bem_d31_elicit_0,nacilafwaya fye ati ulyeko kabili ncili ndeya mukufwaya ulupiya 
200914-200932_bem_d31_elicit_1,naumfwa nomba uposeko amano 
200914-200932_bem_d31_elicit_2,utu nangu napoka teku ninshi emo shapwila ufwaye indalama shani 
200914-200932_bem_d31_elicit_3,400 kwacha nindalama iikalamba saana 
200914-200932_bem_d31_elicit_4,naumfwa nalafwaya 
200914-200932_bem_d31_elicit_5,nikwisa uleya ulingile walipila iya tiketi 
200914-200932_bem_d31_elicit_6,nishinga tiketi yine 
200914-200932_bem_d31_elicit_7,ni 200 kwacha 
200914-200932_bem_d31_elicit_8,nalakupela iya tiketi nga naingila elo naikala mukati mwa basi 
200914-200932_bem_d31_elicit_9,awe teti wingile icakubalilapo kulipila indalama elo waingila mu basi 
200914-200932_bem_d31_elicit_10,ale bika icoola candi ici bwino benjibila 
200914-200932_bem_d31_elicit_11,indalama ya tiketi iyii 200 kwacha 
200914-200932_bem_d31_elicit_12,bushe ba kailo muli shani 
200914-200932_bem_d31_elicit_13,ine ndifye bwino uli shani 
200914-200932_bem_d31_elicit_14,awe ndifye bwino naine 
200914-200932_bem_d31_elicit_15,nomba cinshi ulemonekela uwasakamanasakamana cinshi cilekushupa 
200914-200932_bem_d31_elicit_16,walalenga ukuti naine intampe ukusakamana 
200914-200932_bem_d31_elicit_17,ala ba kabilo ndi mu bwafya 
200914-200932_bem_d31_elicit_18,bwafya nshi 
200914-200932_bem_d31_elicit_19,te bamayo uku kwine bayaa 
200914-200932_bem_d31_elicit_20,ninshi yacitika 
200914-200932_bem_d31_elicit_21,balibebila ifipe fyonse fyonse fye 
200914-200932_bem_d31_elicit_22,tabakwete napakulala 
200914-200932_bem_d31_elicit_23,caabipa ico cintu mwe 
200914-200932_bem_d31_elicit_24,nomba icintu ubukulu ica citika waka ukwisa njeba bwangu 
200914-200932_bem_d31_elicit_25,ukwabula ukupita napa ng anda 
200914-200932_bem_d31_elicit_26,amaka eyapwile nefya kucita 
200914-200932_bem_d31_elicit_27,na mano yalipela yonse 
200914-200932_bem_d31_elicit_28,ndelombakofye nga kuti mwangafwakofye ukumpelako nangu 200 kwacha 
200914-200932_bem_d31_elicit_29,ukuti inkabatumine bakabweleko 
200914-200932_bem_d31_elicit_30,ukuba apa 200 nshikwete 
200914-200932_bem_d31_elicit_31,kabili ba kanabesa batile nabakwatako utumafya ka alawansi tabalampela 
200914-200932_bem_d31_elicit_32,pantu niwebo teti inkulekeleshe ni jishibe ukuti taukwete kumbi ukwakuya 
200914-200932_bem_d31_elicit_33,ine nga nafilwa tapali uungakwanisha 
200914-200932_bem_d31_elicit_34,nalayesha pa misango shinse inkupele 
200914-200932_bem_d31_elicit_35,apa ulebwelelela ku ng anda ukufuma ku menshi walansanga pa nganda pamobe 
200914-200932_bem_d31_elicit_36,natotela saana 
200914-200932_bem_d31_elicit_37,takuli ubwafya uncetekelefye ndelwisha ne misango yonse 
200914-200932_bem_d31_elicit_38,teti inkulekeleshe 
200914-200932_bem_d31_elicit_39,awe naumfwa ba kabilo natotela saana 
200914-200932_bem_d31_elicit_40,kabiye katape amenshi nshakokole 
200914-200932_bem_d31_elicit_41,leka imbutukileko ukukwine 
200914-200932_bem_d31_elicit_42,iwe katumbi nga ifi ulecita 
200914-200932_bem_d31_elicit_43,awe nimwe ndepepela 
